material_type,volume_kg,ph_level,moisture,purity_score
Steel Slag,740.8,10.1,8.7,0.845
Steel Slag,765.2,10.3,8.3,0.858
Steel Slag,730.0,10.0,8.8,0.840
Steel Slag,810.5,10.9,7.5,0.885
Steel Slag,725.4,9.9,8.9,0.838
Steel Slag,795.0,10.7,7.9,0.875
Steel Slag,755.8,10.2,8.4,0.855
Steel Slag,775.3,10.4,8.2,0.862
Steel Slag,715.1,9.8,9.1,0.830
Steel Slag,805.2,10.8,7.7,0.882
Steel Slag,745.6,10.1,8.6,0.848
Steel Slag,785.4,10.5,8.0,0.868
Steel Slag,735.9,10.0,8.8,0.842
Steel Slag,815.0,11.0,7.4,0.890
Silica Fume,315.5,6.5,11.5,0.910
Silica Fume,295.2,6.2,12.2,0.895
Silica Fume,340.8,6.8,10.8,0.930
Silica Fume,280.4,6.0,12.5,0.882
Silica Fume,360.1,7.0,10.5,0.945
Silica Fume,325.0,6.6,11.2,0.915
Silica Fume,305.8,6.4,11.8,0.902
Silica Fume,350.2,6.9,10.7,0.935
Silica Fume,290.5,6.1,12.3,0.888
Silica Fume,370.4,7.1,10.2,0.952
Silica Fume,310.2,6.4,11.6,0.905
Silica Fume,335.5,6.7,10.9,0.925
Silica Fume,285.8,6.1,12.4,0.885
Silica Fume,365.2,7.0,10.4,0.948
Silica Fume,320.4,6.5,11.3,0.912
Silica Fume,300.9,6.3,12.0,0.898
Silica Fume,345.6,6.8,10.7,0.932
Silica Fume,275.5,5.9,12.7,0.875
Silica Fume,355.8,6.9,10.6,0.940
Silica Fume,330.1,6.6,11.1,0.920
Silica Fume,315.5,6.5,11.5,0.910
Silica Fume,295.2,6.2,12.2,0.895
Silica Fume,340.8,6.8,10.8,0.930
Silica Fume,280.4,6.0,12.5,0.882
Silica Fume,360.1,7.0,10.5,0.945
Silica Fume,325.0,6.6,11.2,0.915
Silica Fume,305.8,6.4,11.8,0.902
Silica Fume,350.2,6.9,10.7,0.935
Silica Fume,290.5,6.1,12.3,0.888
Silica Fume,370.4,7.1,10.2,0.952
Silica Fume,310.2,6.4,11.6,0.905
Silica Fume,335.5,6.7,10.9,0.925
Silica Fume,285.8,6.1,12.4,0.885
Silica Fume,365.2,7.0,10.4,0.948
Silica Fume,320.4,6.5,11.3,0.912
Silica Fume,300.9,6.3,12.0,0.898
Silica Fume,345.6,6.8,10.7,0.932
Silica Fume,275.5,5.9,12.7,0.875
Silica Fume,355.8,6.9,10.6,0.940
Silica Fume,330.1,6.6,11.1,0.920
Silica Fume,315.5,6.5,11.5,0.910
Silica Fume,295.2,6.2,12.2,0.895
Silica Fume,340.8,6.8,10.8,0.930
Silica Fume,280.4,6.0,12.5,0.882
Silica Fume,360.1,7.0,10.5,0.945
Silica Fume,325.0,6.6,11.2,0.915
Silica Fume,305.8,6.4,11.8,0.902
Silica Fume,350.2,6.9,10.7,0.935
Silica Fume,290.5,6.1,12.3,0.888
Silica Fume,370.4,7.1,10.2,0.952
Silica Fume,310.2,6.4,11.6,0.905
Silica Fume,335.5,6.7,10.9,0.925
Silica Fume,285.8,6.1,12.4,0.885
Silica Fume,365.2,7.0,10.4,0.948
Silica Fume,320.4,6.5,11.3,0.912
Silica Fume,300.9,6.3,12.0,0.898
Silica Fume,345.6,6.8,10.7,0.932
Silica Fume,275.5,5.9,12.7,0.875
Silica Fume,355.8,6.9,10.6,0.940
Silica Fume,330.1,6.6,11.1,0.920
Silica Fume,315.5,6.5,11.5,0.910
Silica Fume,295.2,6.2,12.2,0.895
Silica Fume,340.8,6.8,10.8,0.930
Silica Fume,280.4,6.0,12.5,0.882
Silica Fume,360.1,7.0,10.5,0.945
Silica Fume,325.0,6.6,11.2,0.915
Silica Fume,305.8,6.4,11.8,0.902
Silica Fume,350.2,6.9,10.7,0.935
Silica Fume,290.5,6.1,12.3,0.888
Silica Fume,370.4,7.1,10.2,0.952
Silica Fume,310.2,6.4,11.6,0.905
Silica Fume,335.5,6.7,10.9,0.925
Silica Fume,285.8,6.1,12.4,0.885
Silica Fume,365.2,7.0,10.4,0.948
Silica Fume,320.4,6.5,11.3,0.912
Silica Fume,300.9,6.3,12.0,0.898
Silica Fume,345.6,6.8,10.7,0.932
Silica Fume,275.5,5.9,12.7,0.875
Silica Fume,355.8,6.9,10.6,0.940
Silica Fume,330.1,6.6,11.1,0.920
Silica Fume,315.5,6.5,11.5,0.910
Silica Fume,295.2,6.2,12.2,0.895
Silica Fume,340.8,6.8,10.8,0.930
Silica Fume,280.4,6.0,12.5,0.882
Silica Fume,360.1,7.0,10.5,0.945
Silica Fume,325.0,6.6,11.2,0.915
Silica Fume,305.8,6.4,11.8,0.902
Silica Fume,350.2,6.9,10.7,0.935
Silica Fume,290.5,6.1,12.3,0.888
Silica Fume,370.4,7.1,10.2,0.952
Silica Fume,310.2,6.4,11.6,0.905
Silica Fume,335.5,6.7,10.9,0.925
Silica Fume,285.8,6.1,12.4,0.885
Silica Fume,365.2,7.0,10.4,0.948
Silica Fume,320.4,6.5,11.3,0.912
Silica Fume,300.9,6.3,12.0,0.898
Silica Fume,345.6,6.8,10.7,0.932
Silica Fume,275.5,5.9,12.7,0.875
Silica Fume,355.8,6.9,10.6,0.940
Silica Fume,330.1,6.6,11.1,0.920
